tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
AVL_B003,0.909333,0.8345403,0.7221446,0.9012675,0.9004364,0.84728795,0.8481219,0.8967333,0.92099404,0.8777291,0.5954224,0.7013821,0.8651732,0.8883439,0.71741855,0.9456856,0.88136065,0.8547131,0.62232053,0.89524865,0.7868756,0.6321953,0.7779157,0.88783115,0.850494
AVL_B006,0.3945776,0.12203854,0.10582086,0.13962042,0.05808514,0.18699697,0.0924065,0.40294394,0.14194882,0.14388694,0.07787562,0.050559957,0.15650181,0.18294261,0.2029032,0.10554287,0.2605424,0.22388004,0.14669614,0.75445795,0.133171,0.08635762,0.14824504,0.118027754,0.11510835
AVL_B008,0.9639378,0.92401963,0.8845867,0.95357233,0.94599044,0.9632344,0.97433156,0.9549162,0.9655885,0.8768969,0.8505569,0.85693055,0.95267236,0.9344347,0.88677907,0.94165593,0.95820737,0.83341616,0.9182301,0.953312,0.9434542,0.88381594,0.9654471,0.9549884,0.97552663
AVL_B009,0.18831435,0.18420424,0.23961437,0.39935923,0.06198411,0.2666434,0.1251683,0.5162714,0.21025042,0.21546626,0.24518381,0.15710413,0.24225123,0.2927962,0.51225233,0.2879691,0.6522333,0.3004919,0.25130188,0.89132375,0.22704381,0.1526795,0.20720828,0.22075284,0.26724932
AVL_B010_L,0.16127075,0.24304983,0.32805142,0.31015795,0.20370169,0.030826963,0.04459213,0.093432344,0.10023443,0.43339634,0.11781957,0.12981941,0.18563938,0.32287833,0.34774712,0.19245216,0.16854149,0.56460893,0.2659424,0.13250342,0.18419684,0.2726331,0.22463344,0.13550577,0.14038515
AVL_B010_R,0.8869982,0.6775417,0.8282302,0.7314346,0.65244335,0.7950496,0.8086995,0.9148114,0.87484676,0.72209615,0.5017462,0.45110622,0.8948467,0.7402114,0.6266195,0.734271,0.7227341,0.6695607,0.4983095,0.9715319,0.55404574,0.46545675,0.74390155,0.7082348,0.63595265
AVL_M020_R,0.76705325,0.52558,0.49609455,0.6452009,0.31946513,0.66086787,0.5102625,0.7969474,0.55690545,0.47886285,0.40893072,0.25906047,0.6045663,0.5386451,0.6260951,0.5200344,0.8396963,0.35221773,0.48748553,0.88665366,0.51879346,0.18790734,0.63067716,0.5962667,0.7334299
AVL_B012,0.65269434,0.5326997,0.31171352,0.31272537,0.5487323,0.28450137,0.26860937,0.47462654,0.38062924,0.5065066,0.18249793,0.21673967,0.43926394,0.35305312,0.44409993,0.42310077,0.35526893,0.39767495,0.27646437,0.2393794,0.27149042,0.24044657,0.4489471,0.18024346,0.29411435
AVL_B013,0.045854487,0.03205721,0.19850525,0.4120328,0.007648208,0.26924387,0.017424906,0.20298566,0.15480731,0.51460826,0.3366878,0.41600952,0.058795765,0.23336513,0.36096287,0.19562584,0.19624293,0.5184737,0.21479121,0.41587716,0.041406166,0.29492888,0.09583415,0.106818505,0.27273685
AVL_M001,0.6682461,0.9360141,0.7361695,0.95640856,0.84058815,0.77065456,0.77110106,0.84808403,0.8668914,0.8606162,0.7097663,0.8380973,0.8025827,0.921844,0.83330965,0.88560843,0.83553714,0.90506035,0.78170234,0.8871281,0.6691288,0.8435643,0.69910103,0.5276874,0.72616184
AVL_M003,0.9801293,0.85955167,0.8399995,0.95323205,0.91525614,0.9026459,0.9473593,0.912017,0.9542964,0.9554824,0.51362354,0.58785474,0.9232296,0.94234824,0.6510092,0.96959317,0.96224,0.86136127,0.75919735,0.98488116,0.87734246,0.52926904,0.91745794,0.97646797,0.881974
AVL_M004,0.95242274,0.8978209,0.85380876,0.95213485,0.8875847,0.925671,0.91863304,0.9626691,0.94698554,0.89512694,0.7481835,0.72745883,0.9165845,0.9373542,0.8499771,0.9619821,0.96216315,0.87881875,0.8399993,0.9665304,0.84624195,0.7586053,0.88816816,0.94858396,0.92599356
AVL_M005,0.9928884,0.9704202,0.9525639,0.9936382,0.96789616,0.9841254,0.99248827,0.99127346,0.99634415,0.9866193,0.78899074,0.7914492,0.9837642,0.9848873,0.8962083,0.99511164,0.98448044,0.98082066,0.9246618,0.9980216,0.92843354,0.8547699,0.9529514,0.98013055,0.967498
AVL_M006,0.7819936,0.8984512,0.81123966,0.9369855,0.8725504,0.87450325,0.7414628,0.8516841,0.8796839,0.9085763,0.56772095,0.687208,0.8054147,0.8941371,0.8013183,0.92891234,0.7992081,0.9091304,0.7216293,0.91738373,0.7012265,0.7192743,0.77120984,0.5782014,0.6046775
AVL_M009_L,0.9439125,0.8490208,0.8170531,0.84247863,0.8501975,0.8742586,0.9098721,0.9408794,0.91376346,0.68739533,0.7219751,0.67492163,0.8985926,0.75624996,0.8433389,0.9115973,0.76573664,0.679878,0.76172024,0.92336696,0.8561691,0.7651389,0.89115614,0.89723855,0.8289297
