tumor_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
LIDC-IDRI-0698_1,0.99,0.98,0.98,0.97,0.92,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0013_1,0.79,0.77,0.95,0.79,0.85,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0645_0,0.08,0.32,0.25,0.29,0.31,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0810_2,0.91,0.9,0.93,0.69,0.94,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0951_0,0.16,0.14,0.12,0.13,0.14,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0565_1,0.42,0.35,0.52,0.25,0.39,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0777_1,0.0,0.01,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0463_1,0.0,0.0,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0788_0,0.05,0.14,0.08,0.02,0.17,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0476_1,0.88,0.88,0.84,0.68,0.89,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0309_1,0.11,0.32,0.25,0.41,0.28,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0359_1,0.21,0.07,0.13,0.09,0.12,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0216_1,0.04,0.04,0.03,0.04,0.03,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0470_1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0078_3,0.99,1.0,0.99,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0090_0,0.16,0.07,0.12,0.01,0.08,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0386_3,0.07,0.0,0.02,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0359_0,0.5,0.91,0.52,0.38,0.64,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0181_2,0.96,0.88,0.95,1.0,0.93,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0313_0,0.93,0.99,0.99,1.0,0.99,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0641_3,0.19,0.04,0.18,0.09,0.17,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0326_0,0.07,0.41,0.42,0.37,0.31,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0491_8,0.99,0.96,1.0,1.0,0.98,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0806_3,0.0,0.35,0.16,0.26,0.26,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0185_3,0.0,0.07,0.09,0.2,0.16,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0321_2,0.09,0.0,0.02,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0851_0,0.15,0.16,0.09,0.06,0.06,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0448_1,0.12,0.25,0.16,0.1,0.15,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0145_1,0.52,0.24,0.47,0.46,0.43,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0433_2,0.02,0.0,0.01,0.02,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0054_0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0149_4,0.02,0.04,0.01,0.09,0.03,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0228_0,0.96,0.81,0.79,0.59,0.85,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0068_5,1.0,1.0,0.99,0.99,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0672_0,0.24,0.69,0.26,0.2,0.3,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0921_0,0.95,1.0,0.9,0.98,0.94,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0890_2,0.87,0.96,0.99,1.0,0.94,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0049_9,0.45,0.53,0.45,0.27,0.46,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0748_2,0.09,0.14,0.09,0.07,0.22,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0362_1,0.92,0.97,0.99,0.99,0.99,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0895_2,0.19,0.35,0.48,0.39,0.38,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0956_2,0.0,0.02,0.02,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0476_4,0.68,0.75,0.73,0.55,0.85,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0775_3,0.55,0.48,0.55,0.61,0.57,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0108_0,1.0,1.0,0.97,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0344_1,0.9,1.0,0.97,0.96,0.97,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0492_1,0.0,0.1,0.01,0.03,0.05,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0770_4,0.17,0.1,0.07,0.07,0.17,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0467_0,0.0,0.24,0.14,0.12,0.25,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0265_0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0515_0,0.88,0.81,0.87,1.0,0.91,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0857_0,0.15,0.32,0.17,0.08,0.25,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0686_14,0.1,0.34,0.42,0.41,0.37,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0655_6,0.11,0.05,0.14,0.29,0.09,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0619_1,0.69,0.98,0.96,0.94,0.94,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0031_4,0.99,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0023_0,1.0,1.0,0.81,0.9,0.95,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0135_3,0.29,0.38,0.42,0.29,0.24,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0488_0,0.03,0.14,0.07,0.03,0.06,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0462_2,0.98,0.86,0.82,0.83,0.84,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0912_2,0.93,0.91,0.98,0.97,0.96,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0704_0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0119_0,0.88,0.87,0.86,0.91,0.8,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0568_1,0.08,0.01,0.1,0.0,0.01,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0260_0,0.98,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0437_0,0.03,0.01,0.04,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0427_0,0.07,0.0,0.04,0.01,0.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0053_1,0.95,0.73,0.8,0.81,0.83,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0602_1,0.01,0.02,0.04,0.1,0.08,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0160_1,0.87,0.65,0.74,0.61,0.72,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0706_0,0.89,0.99,0.9,0.96,0.93,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0751_3,0.06,0.3,0.19,0.15,0.23,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0390_4,0.06,0.03,0.05,0.12,0.09,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0855_1,0.43,0.23,0.44,0.56,0.48,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0050_0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0206_0,0.01,0.33,0.14,0.24,0.17,,,,,,,,,,,,,,,,,,,,
LIDC-IDRI-0300_3,0.66,0.71,0.45,0.71,0.77,,,,,,,,,,,,,,,,,,,,
